# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
141	1.03205	0.469715	0.782378	35.3403	1.27036	4.23005	0.606379	0.246651	0.970527	141
142	1.03204	0.462258	0.783436	10.6986	1.27054	3.99591	0.607996	0.245905	0.973253	142
143	1.03219	0.454801	0.784469	5.97688	1.27071	3.79565	0.609612	0.245186	0.975969	143
144	1.03202	0.447166	0.785477	3.97687	1.27089	3.61633	0.611228	0.25417	0.978676	144
145	1.03202	0.438402	0.786461	2.87206	1.27106	3.45311	0.612844	0.243623	0.981373	145
146	1.03201	0.429915	0.787421	2.17139	1.27124	3.3112	0.61446	0.242867	0.984319	146
147	1.03216	0.421139	0.788358	1.68729	1.27141	3.18162	0.616075	0.242115	1.06355	147
148	1.032	0.412059	0.788399	1.33293	1.27159	3.06323	0.61769	0.241387	0.989435	148
149	1.032	0.402658	0.789288	1.06237	1.27176	2.95621	0.619304	0.240622	0.992073	149
150	1.03215	0.392922	0.790155	0.848979	1.27194	2.85795	0.620918	0.239881	0.994698	150
151	1.03216	0.383037	0.791001	0.67638	1.27212	2.76742	0.622531	0.239145	0.997312	151
152	1.032	0.372836	0.792267	0.533895	1.27229	2.68475	0.624144	0.238412	0.999912	152
153	1.032	0.361506	0.793518	0.414277	1.27247	2.60643	0.625756	0.237684	1.0025	153
154	1.03215	0.35023	0.794305	0.312429	1.27265	2.53681	0.627367	0.236979	1.00507	154
155	1.03201	0.338514	0.795072	0.224665	1.27284	2.47122	0.628977	0.236239	1.00743	155
156	1.03202	0.326331	0.79582	0.148276	1.27302	2.40854	0.630587	0.235522	1.00992	156
157	1.03202	0.313653	0.796548	0.0811334	1.27321	2.35258	0.632195	0.23481	1.01246	157
158	1.03218	0.300616	0.797258	0.0216782	1.27339	2.2995	0.633803	0.234101	1.01497	158
159	1.03204	0.287061	0.797949	0.0313396	1.26894	2.24843	0.635409	0.233414	1.01748	159
160	1.03205	0.272343	0.798622	0.078913	1.26934	2.20271	0.637015	0.232748	1.01996	160
161	1.03221	0.257361	0.799278	0.121841	1.27397	2.15914	0.638619	0.231999	1.02244	161
162	1.03224	0.241707	0.799916	0.160773	1.27417	2.117	0.640223	0.231307	1.02489	162
163	1.0321	0.225335	0.800537	0.196243	1.27437	2.07921	0.641825	0.230618	1.02733	163
164	1.03211	0.208195	0.801141	0.228694	1.27457	2.04308	0.643425	0.229933	1.02976	164
165	1.03227	0.190232	0.801728	0.258498	1.27478	2.00803	0.645025	0.229268	1.03216	165
166	1.03215	0.171483	0.802299	0.285966	1.27499	1.97657	0.646623	0.228575	1.03455	166
167	1.03217	0.151792	0.802855	0.311363	1.2752	1.94644	0.648219	0.227902	1.03692	167
