ID	Name	Eccentricity	Perigee	Res_100	Res_200	Res_300	Res_400	Res_500	Res_600	Res_700	Res_800	Res_900	Res_1000
327	THOR ABLESTAR DEB	0.0121351	839.338	3.53371	0.883492	0.392668	0.220877	0.141362	0.0981682	0.0721236	0.0552197	0.0436305	0.0353409
329	THOR ABLESTAR DEB	0.0115903	929.196	3.58447	0.896179	0.398306	0.224049	0.143392	0.0995777	0.0731592	0.0560129	0.0442568	0.0358484
330	THOR ABLESTAR DEB	0.0045042	850.901	3.47092	0.867786	0.385688	0.216951	0.138849	0.0964231	0.0708418	0.054238	0.042855	0.0347125
333	THOR ABLESTAR DEB	0.0061862	654.798	3.38764	0.846966	0.376434	0.211745	0.135517	0.0941097	0.069142	0.0529371	0.041827	0.0338798
334	THOR ABLESTAR DEB	0.0075249	867.578	3.51251	0.878185	0.390309	0.21955	0.140513	0.0975786	0.0716908	0.0548881	0.0433688	0.0351286
335	THOR ABLESTAR DEB	0.0035689	806.647	3.4422	0.860605	0.382497	0.215155	0.137699	0.0956252	0.0702555	0.0537895	0.0425007	0.0344256
336	THOR ABLESTAR DEB	0.0073567	949.157	3.54882	0.887262	0.394343	0.22182	0.141965	0.0985869	0.0724314	0.0554557	0.0438163	0.0354914
337	THOR ABLESTAR DEB	0.0104459	904.855	3.55874	0.889747	0.395447	0.22244	0.142362	0.0988628	0.0726345	0.0556103	0.0439393	0.0355909
350	THOR ABLESTAR DEB	0.0125338	730.858	3.49956	0.874947	0.388872	0.218741	0.139995	0.0972192	0.0714263	0.0546859	0.043209	0.0349993
351	THOR ABLESTAR DEB	0.0039762	683.482	3.38484	0.846268	0.376124	0.211571	0.135406	0.0940318	0.0690851	0.052893	0.0417925	0.0338523
353	THOR ABLESTAR DEB	0.0010914	578.182	3.30716	0.826843	0.36749	0.206715	0.132298	0.0918733	0.0674992	0.0516792	0.040833	0.0330745
354	THOR ABLESTAR DEB	0.0169125	950.914	3.65056	0.912707	0.405653	0.228181	0.146037	0.101414	0.0745087	0.057046	0.0450734	0.0365093
355	THOR ABLESTAR DEB	0.0242843	954.616	3.73964	0.934979	0.415553	0.233749	0.1496	0.103889	0.0763271	0.0584381	0.0461737	0.0374003
357	THOR ABLESTAR DEB	0.0005701	873.864	3.44318	0.860852	0.382606	0.215217	0.137739	0.0956526	0.0702754	0.0538052	0.042513	0.0344355
369	FTV 3502	0.0092014	549.998	3.3729	0.843279	0.374795	0.210823	0.134927	0.0936997	0.0688411	0.0527065	0.041645	0.033732
397	TIROS 6	0.0013864	592.275	3.31838	0.829647	0.368737	0.207415	0.132746	0.0921853	0.0677279	0.0518546	0.0409716	0.0331873
402	THOR ABLESTAR DEB	0.0048629	718.675	3.40009	0.850079	0.377817	0.212523	0.136015	0.0944553	0.069396	0.0531313	0.0419803	0.0340041
403	THOR ABLESTAR DEB	0.001566	948.04	3.4879	0.872031	0.387574	0.218012	0.139528	0.0968942	0.0711878	0.0545038	0.0430645	0.0348825
404	THOR ABLESTAR DEB	0.0552899	873.762	4.07465	1.01875	0.452784	0.254693	0.163005	0.113198	0.0831659	0.0636742	0.0503103	0.040752
405	THOR ABLESTAR DEB	0.0081652	952.58	3.56004	0.890072	0.395592	0.222522	0.142415	0.0988994	0.0726608	0.0556312	0.0439559	0.035604
406	THOR ABLESTAR DEB	0.0125553	916.095	3.57882	0.894764	0.397678	0.223695	0.143165	0.0994207	0.0730439	0.0559242	0.0441876	0.0357918
407	THOR ABLESTAR DEB	0.0069613	681.665	3.41588	0.854032	0.379575	0.213512	0.136648	0.0948949	0.0697188	0.0533788	0.0421756	0.0341622
408	THOR ABLESTAR DEB	0.0073279	926.064	3.53485	0.883769	0.392791	0.220947	0.141407	0.0981988	0.0721462	0.0552373	0.0436442	0.0353518
409	THOR ABLESTAR DEB	0.0061757	768.706	3.44901	0.862311	0.383254	0.215582	0.137973	0.0958143	0.0703947	0.053896	0.0425845	0.0344939
410	THOR ABLESTAR DEB	0.0017089	963.488	3.4943	0.873631	0.388286	0.218411	0.139784	0.0970723	0.0713186	0.0546034	0.043144	0.0349462
414	THOR ABLESTAR DEB	0.0051682	934.685	3.51476	0.87875	0.39056	0.219692	0.140603	0.0976411	0.0717365	0.0549238	0.0433965	0.035151
