ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
3494	TITAN 3C TRANSTAGE DEB	0.0028189	681.544	0.0550627	0.0532227	0.0541992	0.0541992	0.0541992
3504	COSMOS 249	0.100264	510.076	0.0729416	0.0478516	0.0693359	0.0727539	0.0732422
3506	COSMOS 249 DEB	0.0949539	573.351	0.0720883	0.0488281	0.0688477	0.0717773	0.0722656
3509	COSMOS 249 DEB	0.036469	433.857	0.0587671	0.0507813	0.0581055	0.0585938	0.0585938
3510	OPS 4078 (DMSP 4B F2)	0.0030034	776.619	0.05565	0.0551758	0.0556641	0.0556641	0.0556641
3522	THOR BURNER 2 R/B	0.0029781	768.979	0.0556062	0.0551758	0.0556641	0.0556641	0.0556641
3530	COSMOS 252	0.100385	538.696	0.0733299	0.0483398	0.0703125	0.0722656	0.0727539
3549	COSMOS 252 DEB	0.042978	502.532	0.0605529	0.0507813	0.0605469	0.0605469	0.0605469
3551	COSMOS 252 DEB	0.067547	509.861	0.0655581	0.0498047	0.0649414	0.0664063	0.0664063
3554	COSMOS 252 DEB	0.0618464	524.986	0.0645061	0.0498047	0.0629883	0.0644531	0.0644531
3555	COSMOS 252 DEB	0.0925548	531.469	0.0713447	0.0493164	0.0693359	0.0712891	0.0712891
3557	COSMOS 252 DEB	0.0850492	540.576	0.0696739	0.0493164	0.0673828	0.0703125	0.0703125
3558	COSMOS 252 DEB	0.0229326	464.104	0.0566144	0.0512695	0.0566406	0.0566406	0.0566406
3559	COSMOS 252 DEB	0.0571352	501.847	0.0633328	0.0498047	0.0625	0.0634766	0.0634766
3561	COSMOS 252 DEB	0.0516973	502.416	0.0622717	0.0498047	0.0610352	0.0620117	0.0620117
3565	COSMOS 252 DEB	0.0551369	495.439	0.0628517	0.0498047	0.0615234	0.0629883	0.0629883
3569	COSMOS 252 DEB	0.062608	508.74	0.0645318	0.0498047	0.0634766	0.0644531	0.0644531
3576	COSMOS 256	0.0032734	1169.89	0.0587475	0.0576172	0.0585938	0.0585938	0.0585938
3577	SL-8 R/B	0.0034777	1160.06	0.0587354	0.0581055	0.059082	0.059082	0.059082
3583	COSMOS 249 DEB	0.0711515	779.703	0.0689351	0.0517578	0.0673828	0.0688477	0.0688477
3584	COSMOS 249 DEB	0.047786	483.11	0.0612827	0.0507813	0.0605469	0.0610352	0.0610352
3591	SCOUT A DEB	0.0077981	824.342	0.0568236	0.0546875	0.0566406	0.0566406	0.0566406
3592	THOR ABLESTAR DEB	0.0061988	981.561	0.0577464	0.0566406	0.0581055	0.0581055	0.0581055
3597	OAO 2	0.0004959	738.759	0.0551097	0.0551758	0.0556641	0.0556641	0.0556641
3598	ATLAS CENTAUR R/B	0.0049275	679.142	0.0553206	0.0546875	0.0561523	0.0561523	0.0561523
3605	OPS 7684	0.0057152	1373.81	0.0606923	0.059082	0.0605469	0.0605469	0.0605469
3606	COSMOS 249 DEB	0.0760732	680.431	0.0689235	0.0498047	0.0668945	0.0688477	0.0688477
3609	COSMOS 249 DEB	0.0776773	474.083	0.0674022	0.0483398	0.0654297	0.0668945	0.0673828
